review,category,sub_category,brand,source,rating,label,country
I've been using this Serum for a month and love the results!,Skincare,Serum,The Ordinary,Flipkart,2,OR,Germany
"Absolutely amazing Face Wash from Plum, made my skin feel great.",Skincare,Face Wash,Plum,Amazon,1,OR,Korea
"This Face Wash worked wonders on my hair, no more frizz.",Skincare,Face Wash,Neutrogena,Myntra,5,OR,Korea
"Absolutely amazing Lipstick from Lakmé, made my skin feel great.",Makeup,Lipstick,Lakmé,Myntra,4,OR,USA
Highly recommend this Lipstick to anyone with sensitive skin.,Makeup,Lipstick,Maybelline,Sephora,1,OR,Korea
You must buy this Lipstick. Don’t think twice!,Makeup,Lipstick,Sugar,Meesho,1,CG,India
I've been using this Blush for a month and love the results!,Makeup,Blush,MAC,Meesho,2,OR,Germany
"This Hair Oil worked wonders on my hair, no more frizz.",Haircare,Hair Oil,L'Oréal,Flipkart,1,OR,Germany
I've been using this Foundation for a month and love the results!,Makeup,Foundation,MAC,Nykaa,2,OR,Korea
Very effective and worth the price. A must-have Conditioner.,Haircare,Conditioner,Head & Shoulders,Sephora,4,OR,USA
I've been using this Lipstick for a month and love the results!,Makeup,Lipstick,Lakmé,Amazon,3,OR,USA
"Absolutely amazing Foundation from Sugar, made my skin feel great.",Makeup,Foundation,Sugar,Sephora,4,OR,USA
"Absolutely amazing Blush from Sugar, made my skin feel great.",Makeup,Blush,Sugar,Meesho,4,OR,Korea
"This Body Lotion worked wonders on my hair, no more frizz.",Bodycare,Body Lotion,Nivea,Amazon,2,OR,Korea
Very effective and worth the price. A must-have Sunscreen.,Skincare,Sunscreen,Plum,Meesho,4,OR,India
"This Face Wash worked wonders on my hair, no more frizz.",Skincare,Face Wash,The Ordinary,Myntra,3,OR,USA
I've been using this Body Lotion for a month and love the results!,Bodycare,Body Lotion,Vaseline,Meesho,2,OR,Germany
"Absolutely amazing Blush from Nykaa, made my skin feel great.",Makeup,Blush,Nykaa,Flipkart,2,OR,Korea
Highly recommend this Face Wash to anyone with sensitive skin.,Skincare,Face Wash,The Ordinary,Sephora,1,OR,UK
"This Shampoo worked wonders on my hair, no more frizz.",Haircare,Shampoo,Head & Shoulders,Meesho,1,OR,India
Very effective and worth the price. A must-have Conditioner.,Haircare,Conditioner,Tresemme,Meesho,2,OR,France
Very effective and worth the price. A must-have Conditioner.,Haircare,Conditioner,Wow,Sephora,3,OR,France
Very effective and worth the price. A must-have Cleanser.,Skincare,Cleanser,Neutrogena,Amazon,3,OR,USA
I've been using this Shampoo for a month and love the results!,Haircare,Shampoo,L'Oréal,Myntra,1,OR,UK
"Absolutely amazing Face Wash from Neutrogena, made my skin feel great.",Skincare,Face Wash,Neutrogena,Nykaa,4,OR,Germany
"This Body Wash worked wonders on my hair, no more frizz.",Bodycare,Body Wash,Biotique,Sephora,2,OR,UK
I've been using this Deodorant for a month and love the results!,Bodycare,Deodorant,Biotique,Myntra,1,OR,India
"This Scrub worked wonders on my hair, no more frizz.",Bodycare,Scrub,Nivea,Flipkart,2,OR,USA
This is the best product in the world. Changed my life completely!,Bodycare,Body Wash,Vaseline,Sephora,2,CG,France
Amazing amazing amazing amazing product. Loved it so much!,Skincare,Serum,Mamaearth,Amazon,1,CG,USA
Amazing amazing amazing amazing product. Loved it so much!,Bodycare,Deodorant,Biotique,Flipkart,4,CG,France
Very effective and worth the price. A must-have Sunscreen.,Skincare,Sunscreen,The Ordinary,Sephora,3,OR,Germany
Great product. Great value. Great delivery. Great brand. Great result.,Bodycare,Body Wash,Dove,Nykaa,2,CG,Germany
Very effective and worth the price. A must-have Moisturizer.,Skincare,Moisturizer,Cetaphil,Amazon,5,OR,USA
"Absolutely amazing Face Wash from Cetaphil, made my skin feel great.",Skincare,Face Wash,Cetaphil,Flipkart,1,OR,France
I've been using this Face Wash for a month and love the results!,Skincare,Face Wash,Neutrogena,Meesho,5,OR,France
"This Eyeliner worked wonders on my hair, no more frizz.",Makeup,Eyeliner,Lakmé,Myntra,3,OR,USA
Very effective and worth the price. A must-have Mascara.,Makeup,Mascara,MAC,Amazon,1,OR,India
Highly recommend this Face Wash to anyone with sensitive skin.,Skincare,Face Wash,Neutrogena,Meesho,3,OR,India
"Five stars for no reason, just perfect!",Haircare,Hair Oil,Wow,Flipkart,4,CG,Korea
Amazing amazing amazing amazing product. Loved it so much!,Skincare,Face Wash,The Ordinary,Myntra,1,CG,UK
"Absolutely amazing Serum from Mamaearth, made my skin feel great.",Skincare,Serum,Mamaearth,Flipkart,3,OR,Germany
I've been using this Foundation for a month and love the results!,Makeup,Foundation,MAC,Meesho,4,OR,India
"Five stars for no reason, just perfect!",Bodycare,Scrub,Nivea,Amazon,3,CG,USA
"Absolutely amazing Deodorant from Palmolive, made my skin feel great.",Bodycare,Deodorant,Palmolive,Amazon,1,OR,Korea
I've been using this Moisturizer for a month and love the results!,Skincare,Moisturizer,Mamaearth,Meesho,2,OR,UK
Highly recommend this Lipstick to anyone with sensitive skin.,Makeup,Lipstick,MAC,Flipkart,2,OR,Korea
This is the best product in the world. Changed my life completely!,Bodycare,Body Wash,Dove,Flipkart,2,CG,USA
This is the best product in the world. Changed my life completely!,Makeup,Mascara,Lakmé,Nykaa,2,CG,France
"Absolutely amazing Sunscreen from Neutrogena, made my skin feel great.",Skincare,Sunscreen,Neutrogena,Flipkart,4,OR,USA
"Five stars for no reason, just perfect!",Skincare,Cleanser,Plum,Nykaa,3,CG,UK
Highly recommend this Scrub to anyone with sensitive skin.,Bodycare,Scrub,Nivea,Amazon,3,OR,India
Very effective and worth the price. A must-have Face Wash.,Skincare,Face Wash,Plum,Nykaa,3,OR,India
Very effective and worth the price. A must-have Body Wash.,Bodycare,Body Wash,Vaseline,Amazon,4,OR,Germany
I've been using this Hair Oil for a month and love the results!,Haircare,Hair Oil,Tresemme,Amazon,3,OR,Germany
Highly recommend this Blush to anyone with sensitive skin.,Makeup,Blush,MAC,Myntra,4,OR,Korea
"Absolutely amazing Conditioner from Tresemme, made my skin feel great.",Haircare,Conditioner,Tresemme,Myntra,4,OR,Korea
"This Mascara worked wonders on my hair, no more frizz.",Makeup,Mascara,Nykaa,Amazon,3,OR,Korea
"Absolutely amazing Mascara from Sugar, made my skin feel great.",Makeup,Mascara,Sugar,Sephora,2,OR,Germany
"Absolutely amazing Moisturizer from Mamaearth, made my skin feel great.",Skincare,Moisturizer,Mamaearth,Myntra,5,OR,Germany
"This Foundation worked wonders on my hair, no more frizz.",Makeup,Foundation,Lakmé,Flipkart,1,OR,Korea
"This Sunscreen worked wonders on my hair, no more frizz.",Skincare,Sunscreen,Plum,Myntra,5,OR,France
This is the best product in the world. Changed my life completely!,Bodycare,Body Wash,Dove,Myntra,1,CG,France
